44673  36.592892 fe80::d4a3:86f2:db0c:f997 → ff02::1:ff24:d055 ICMPv6 86 Neighbor Solicitation for fe80::cc91:dc08:9f24:d055 from 14:da:e9:6e:4c:8f
44674  36.593058 fe80::cc91:dc08:9f24:d055 → ff02::1:ff0c:f997 ICMPv6 86 Neighbor Solicitation for fe80::d4a3:86f2:db0c:f997 from 00:1d:09:0f:8a:e6
44675  36.593350 fe80::f585:875a:594e:501d → ff02::1:ff0c:f997 ICMPv6 86 Neighbor Solicitation for fe80::d4a3:86f2:db0c:f997 from 1c:6f:65:3f:be:20
44744  36.724854 fe80::3474:2d40:c9d0:a58 → ff02::1:3    LLMNR 93 Standard query 0x9fb7 A TALLERDAYFISA
44768  36.824928 fe80::3474:2d40:c9d0:a58 → ff02::1:3    LLMNR 93 Standard query 0x9fb7 A TALLERDAYFISA
45115  37.558760 fe80::c09a:ada4:a6d7:e4a3 → ff02::1:2    DHCPv6 145 Solicit XID: 0xf53b7e CID: 000100011d00fafcbc5ff4e20e32 
45162  37.606153 fe80::412d:ee5c:587b:cb66 → ff02::1:3    LLMNR 86 Standard query 0x2e4e A isatap
45421  38.027290 fe80::412d:ee5c:587b:cb66 → ff02::1:3    LLMNR 86 Standard query 0x2e4e A isatap
45454  38.090787 fe80::c990:30a8:edd:20bd → ff02::1:2    DHCPv6 148 Solicit XID: 0x4ad93a CID: 000100011aad4d3240167e3be684 
46172  39.091385 fe80::c990:30a8:edd:20bd → ff02::1:2    DHCPv6 148 Solicit XID: 0x4ad93a CID: 000100011aad4d3240167e3be684 
46326  39.275723 fe80::3474:2d40:c9d0:a58 → ff02::1:3    LLMNR 93 Standard query 0xb6a9 A TALLERDAYFISA
46428  39.375992 fe80::3474:2d40:c9d0:a58 → ff02::1:3    LLMNR 93 Standard query 0xb6a9 A TALLERDAYFISA
46516  39.588961 fe80::d4a3:86f2:db0c:f997 → ff02::c      SSDP 181 M-SEARCH * HTTP/1.1 
46517  39.589985 fe80::d4a3:86f2:db0c:f997 → ff02::c      SSDP 179 M-SEARCH * HTTP/1.1 
46723  39.994728 fe80::b85b:1903:8b2d:2e45 → ff02::1:2    DHCPv6 157 Solicit XID: 0x7ff25c CID: 000100011afa65faac220bcd9ef4 
46733  40.055535 fe80::7883:9fdb:a413:9333 → ff02::1:2    DHCPv6 159 Solicit XID: 0xbf3ba8 CID: 000100011ae68cc6e03f499f8ca4 
46846  40.322802 fe80::6184:e416:3414:1d3 → ff02::1:2    DHCPv6 156 Solicit XID: 0xcbe607 CID: 000100011c21a137000ffe9edc4d 
47071  40.885133 fe80::9005:1d9d:3951:1280 → ff02::1:2    DHCPv6 147 Solicit XID: 0x5f9581 CID: 000100011bc9d13dc81f66403fbd 
47124  41.091849 fe80::c990:30a8:edd:20bd → ff02::1:2    DHCPv6 148 Solicit XID: 0x4ad93a CID: 000100011aad4d3240167e3be684 
47174  41.330498 fe80::6184:e416:3414:1d3 → ff02::1:2    DHCPv6 156 Solicit XID: 0xcbe607 CID: 000100011c21a137000ffe9edc4d 
47422  42.076463 fe80::da50:e6ff:fe56:b297 → ff02::fb     MDNS 548 Standard query 0x0000 PTR _ipp._tcp.local, "QM" question PTR _ipps._tcp.local, "QM" question PTR Hewlett-Packard HP LaserJet 1022 @ urbana._ipps._tcp.local PTR HP LaserJet 600 M602 [605539]._ipps._tcp.local PTR HP Color LaserJet CP3525 [FBCC3B]._ipp._tcp.local PTR Hewlett-Packard HP LaserJet 1022 @ urbana._ipp._tcp.local PTR HP LaserJet P4015 [0E9DE0]._ipp._tcp.local PTR Hacked_By_KingSkrupellos_Cyberizm_Digital_Security_Team._ipp._tcp.local PTR HP LaserJet P4015 [0FA1F0]._ipp._tcp.local PTR HP LaserJet 600 M602 [605539]._ipp._tcp.local PTR HP LaserJet P4015 [842B2E]._ipp._tcp.local
47423  42.076723 fe80::1ec1:deff:fe84:2b2e → ff02::1:ff56:b297 ICMPv6 86 Neighbor Solicitation for fe80::da50:e6ff:fe56:b297 from 1c:c1:de:84:2b:2e
47471  42.212481 fe80::557b:8a53:773:86a4 → ff02::c      SSDP 181 M-SEARCH * HTTP/1.1 
47472  42.213423 fe80::557b:8a53:773:86a4 → ff02::c      SSDP 179 M-SEARCH * HTTP/1.1 
47473  42.216049 fe80::557b:8a53:773:86a4 → ff02::1:ff85:983a ICMPv6 86 Neighbor Solicitation for fe80::a5b0:7f7:6d85:983a from 74:27:ea:ba:e0:f0
47474  42.216363 fe80::a5b0:7f7:6d85:983a → ff02::1:ff73:86a4 ICMPv6 86 Neighbor Solicitation for fe80::557b:8a53:773:86a4 from a4:1f:72:70:e4:a7
